datetime,Demand_EOM,Demand_LTM
2021-04-01 00:30:00,21570,10000
2021-04-01 01:00:00,21130,10000
2021-04-01 01:30:00,21272,10000
2021-04-01 02:00:00,21600,10000
2021-04-01 02:30:00,21478,10000
2021-04-01 03:00:00,20992,10000
2021-04-01 03:30:00,20695,10000
2021-04-01 04:00:00,20464,10000
2021-04-01 04:30:00,20450,10000
2021-04-01 05:00:00,20806,10000
2021-04-01 05:30:00,21675,10000
2021-04-01 06:00:00,22750,10000
2021-04-01 06:30:00,24614,10000
2021-04-01 07:00:00,26687,10000
2021-04-01 07:30:00,29266,10000
2021-04-01 08:00:00,30326,10000
2021-04-01 08:30:00,30950,10000
2021-04-01 09:00:00,30755,10000
2021-04-01 09:30:00,30560,10000
2021-04-01 10:00:00,29890,10000
2021-04-01 10:30:00,29276,10000
2021-04-01 11:00:00,28660,10000
2021-04-01 11:30:00,28049,10000
2021-04-01 12:00:00,27328,10000
2021-04-01 12:30:00,26851,10000
2021-04-01 13:00:00,26126,10000
2021-04-01 13:30:00,25590,10000
2021-04-01 14:00:00,25201,10000
2021-04-01 14:30:00,24760,10000
2021-04-01 15:00:00,25017,10000
2021-04-01 15:30:00,25703,10000
2021-04-01 16:00:00,26136,10000
2021-04-01 16:30:00,27154,10000
2021-04-01 17:00:00,28276,10000
2021-04-01 17:30:00,29484,10000
2021-04-01 18:00:00,30074,10000
2021-04-01 18:30:00,30950,10000
2021-04-01 19:00:00,31680,10000
2021-04-01 19:30:00,31776,10000
2021-04-01 20:00:00,32213,10000
2021-04-01 20:30:00,32767,10000
2021-04-01 21:00:00,33190,10000
2021-04-01 21:30:00,32284,10000
2021-04-01 22:00:00,30775,10000
2021-04-01 22:30:00,29022,10000
2021-04-01 23:00:00,26998,10000
2021-04-01 23:30:00,24900,10000
2021-04-02 00:00:00,23210,10000
2021-04-02 00:30:00,21460,10000
2021-04-02 01:00:00,21250,10000
2021-04-02 01:30:00,21297,10000
2021-04-02 02:00:00,21860,10000
2021-04-02 02:30:00,21803,10000
2021-04-02 03:00:00,21546,10000
2021-04-02 03:30:00,21307,10000
2021-04-02 04:00:00,21134,10000
2021-04-02 04:30:00,21063,10000
2021-04-02 05:00:00,21060,10000
2021-04-02 05:30:00,21774,10000
2021-04-02 06:00:00,22443,10000
2021-04-02 06:30:00,23602,10000
2021-04-02 07:00:00,24863,10000
2021-04-02 07:30:00,26506,10000
2021-04-02 08:00:00,27488,10000
2021-04-02 08:30:00,28077,10000
2021-04-02 09:00:00,28290,10000
2021-04-02 09:30:00,28490,10000
2021-04-02 10:00:00,28235,10000
2021-04-02 10:30:00,28364,10000
2021-04-02 11:00:00,28240,10000
2021-04-02 11:30:00,27507,10000
2021-04-02 12:00:00,26903,10000
2021-04-02 12:30:00,26336,10000
2021-04-02 13:00:00,25815,10000
2021-04-02 13:30:00,24947,10000
2021-04-02 14:00:00,24303,10000
2021-04-02 14:30:00,24395,10000
2021-04-02 15:00:00,24230,10000
2021-04-02 15:30:00,24383,10000
2021-04-02 16:00:00,24793,10000
2021-04-02 16:30:00,25763,10000
2021-04-02 17:00:00,27289,10000
2021-04-02 17:30:00,28689,10000
2021-04-02 18:00:00,29696,10000
2021-04-02 18:30:00,30290,10000
2021-04-02 19:00:00,31110,10000
2021-04-02 19:30:00,31530,10000
2021-04-02 20:00:00,31934,10000
2021-04-02 20:30:00,32670,10000
2021-04-02 21:00:00,33080,10000
2021-04-02 21:30:00,32134,10000
2021-04-02 22:00:00,30772,10000
2021-04-02 22:30:00,29711,10000
2021-04-02 23:00:00,28022,10000
2021-04-02 23:30:00,25998,10000
2021-04-03 00:00:00,24220,10000
2021-04-03 00:30:00,21810,10000
2021-04-03 01:00:00,21169,10000
2021-04-03 01:30:00,21160,10000
2021-04-03 02:00:00,21836,10000
2021-04-03 02:30:00,21840,10000
2021-04-03 03:00:00,21593,10000
2021-04-03 03:30:00,21446,10000
2021-04-03 04:00:00,21277,10000
2021-04-03 04:30:00,21033,10000
2021-04-03 05:00:00,20971,10000
2021-04-03 05:30:00,20920,10000
2021-04-03 06:00:00,21091,10000
2021-04-03 06:30:00,21749,10000
2021-04-03 07:00:00,22484,10000
2021-04-03 07:30:00,23604,10000
2021-04-03 08:00:00,24700,10000
2021-04-03 08:30:00,25942,10000
2021-04-03 09:00:00,26650,10000
2021-04-03 09:30:00,27531,10000
2021-04-03 10:00:00,27750,10000
2021-04-03 10:30:00,27800,10000
2021-04-03 11:00:00,27380,10000
